#,Visible?,Starred?,Identified Proteins (1591),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,5848 - #1 - Exp,5848 - #2 - Exp,5848 - #3 - Exp,5848 - #4 - Exp
7,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,sp|Q00839|HNRPU_HUMAN,,91 kDa,TRUE,unknown,489,37,43,96
2,TRUE,Empty,sp|TRYP_PIG|,sp|TRYP_PIG|,,24 kDa,TRUE,unknown,421,412,45,182
1,TRUE,Empty,Streptavidin OS=Streptomyces avidinii OX=1895 PE=1 SV=1,sp|P22629|SAV_STRAV,,19 kDa,,unknown,377,203,497,3040
9,TRUE,Empty,Kinesin-like protein KIF11 OS=Homo sapiens OX=9606 GN=KIF11 PE=1 SV=2,sp|P52732|KIF11_HUMAN,,119 kDa,,unknown,340,304,18,0
22,TRUE,Empty,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",sp|Q13813|SPTN1_HUMAN,,285 kDa,,unknown,323,92,0,2
24,TRUE,Empty,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",sp|Q01082|SPTB2_HUMAN,,275 kDa,TRUE,unknown,289,91,0,4
3,TRUE,Empty,Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4,sp|O14744|ANM5_HUMAN,,73 kDa,TRUE,unknown,255,607,27,0
14,TRUE,Empty,Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1,sp|P68363|TBA1B_HUMAN,,50 kDa,TRUE,unknown,234,206,37,71
15,TRUE,Empty,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,sp|P07437|TBB5_HUMAN,,50 kDa,TRUE,unknown,232,155,40,90
20,TRUE,Empty,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,sp|Q14204|DYHC1_HUMAN,,532 kDa,TRUE,unknown,211,223,0,10
31,TRUE,Empty,U4/U6 small nuclear ribonucleoprotein Prp31 OS=Homo sapiens OX=9606 GN=PRPF31 PE=1 SV=2,sp|Q8WWY3|PRP31_HUMAN,,55 kDa,,unknown,195,82,2,1
13,TRUE,Empty,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,sp|P78527|PRKDC_HUMAN,,469 kDa,,unknown,171,152,50,173
4,TRUE,Empty,"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1",sp|P63261|ACTG_HUMAN,,42 kDa,TRUE,unknown,152,628,65,33
8,TRUE,Empty,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",sp|P04264|K2C1_HUMAN,,66 kDa,TRUE,unknown,138,323,43,154
46,TRUE,Empty,General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=1,tr|A0A494C1K3|A0A494C1K3_HUMAN,,131 kDa,TRUE,unknown,137,54,5,1
